"Species_fishbase","count","percent","a","b","Species_name","Family","Trophic_group","Target","Trophic_guild","Trophic_level"
"Acanthurus auranticavus",3,0.04,0.02344,2.96,"Acanthurus_auranticavus","Acanthuridae","Herbivore-Detritivore",2.5,"Herbivore Microvore Detritivore",2
"Anampses caeruleopunctatus",1,0.01,0.01,3.07,"Anampses_caeruleopunctatus","Labridae","Invertivore",1.5,"Microinvertivore",3.37
"Anyperodon leucogrammicus",2,0.03,0.012822,3.169212,"Anyperodon_leucogrammicus","Serranidae","Piscivore",3,"Piscivore",3.94
"Atule mate",12,0.15,0.0309266666666667,3.00866666666667,"Atule_mate","Carangidae","Piscivore",2.83,"Piscivore",3.27
"Balistoides viridescens",87,1.11,0.04701,2.97364,"Balistoides_viridescens","Balistidae","Invertivore",1.3,"Macroinvertivore",3.33
"Bolbometopon muricatum",61,0.78,0.01445,3.02,"Bolbometopon_muricatum","Labridae (Scarinae)","Omnivore",1.7,"Herbivore Microvore Detritivore",2.67
"Carangoides bajad",25,0.32,0.011855,2.876,"Carangoides_bajad","Carangidae","Piscivore",2.83,"Piscivore",3.97
"Carangoides ferdau",1,0.01,0.323511428571429,2.64722285714286,"Carangoides_ferdau","Carangidae","Piscivore",2.83,"Piscivore",3.98
"Caranx melampygus",11,0.14,0.024523,2.949499,"Caranx_melampygus","Carangidae","Piscivore",2.83,"Piscivore",4.28
"Cephalopholis boenak",50,0.64,0.02016,3.01087857142857,"Cephalopholis_boenak","Serranidae","Piscivore",3,"Piscivore",3.83
"Cephalopholis cyanostigma",36,0.46,0.0266666666666667,2.90466666666667,"Cephalopholis_cyanostigma","Serranidae","Piscivore",3,"Piscivore",4.17
"Cephalopholis microprion",99,1.26,0.0228,3.13,"Cephalopholis_microprion","Serranidae","Piscivore",3,"Crustacivore",4
"Cetoscarus ocellatus",22,0.28,0.0276,2.92,"Cetoscarus_ocellatus","Labridae (Scarinae)","Herbivore-Detritivore",1.7,"Herbivore Microvore Detritivore",2
"Cheilinus chlorourus",20,0.25,0.02993,2.9085375,"Cheilinus_chlorourus","Labridae","Invertivore",1.5,"Crustacivore",3.46
"Cheilinus fasciatus",760,9.66,0.023335,3,"Cheilinus_fasciatus","Labridae","Invertivore",1.5,"Crustacivore",3.37
"Cheilinus trilobatus",17,0.22,0.0421825,2.8553675,"Cheilinus_trilobatus","Labridae","Invertivore",1.5,"Macroinvertivore",3.92000007629395
"Cheilinus undulatus",7,0.09,0.0157775,3.05755,"Cheilinus_undulatus","Labridae","Invertivore",1.5,"Macroinvertivore",3.99
"Chlorurus bleekeri",513,6.52,0.0415,2.946,"Chlorurus_bleekeri","Labridae (Scarinae)","Herbivore-Detritivore",1.7,"Herbivore Microvore Detritivore",2
"Chlorurus japanensis",3,0.04,0.01445,3.02,"Chlorurus_japanensis","Labridae (Scarinae)","Herbivore-Detritivore",1.7,"Herbivore Microvore Detritivore",2
"Chlorurus sordidus",14,0.18,0.0205916666666667,3.08705166666667,"Chlorurus_sordidus","Labridae (Scarinae)","Omnivore",1.7,"Herbivore Microvore Detritivore",2.62
"Choerodon anchorago",181,2.3,0.0255333333333333,3.00366666666667,"Choerodon_anchorago","Labridae","Invertivore",1.5,"Macroinvertivore",3.32
"Choerodon oligacanthus",47,0.6,0.01288,3.05,"Choerodon_oligacanthus","Labridae","Invertivore",1.5,"Macroinvertivore",3.4
"Choerodon schoenleinii",3,0.04,0.0167825,3.052725,"Choerodon_schoenleinii","Labridae","Invertivore",1.5,"Macroinvertivore",3.38
"Cromileptes altivelis",1,0.01,0.0412633333333333,3.01642666666667,"Cromileptes_altivelis","Serranidae","Piscivore",3,"Crustacivore",4.5
"Diagramma melanacrum",49,0.62,0.0182,3.06,"Diagramma_melanacra","Haemulidae","Invertivore",2.5,NA,3.6
"Diagramma pictum",7,0.09,0.010102,3.073512,"Diagramma_pictum","Haemulidae","Invertivore",2.5,"Macroinvertivore",3.39
"Epinephelus coioides",1,0.01,0.016562,3.045259,"Epinephelus_coioides","Serranidae","Piscivore",3,"Piscivore",3.95
"Epinephelus merra",1,0.01,0.012394,3.127872,"Epinephelus_merra","Serranidae","Piscivore",3,"Crustacivore",4.38
"Epinephelus ongus",1,0.01,0.0173725,3.01095,"Epinephelus_ongus","Serranidae","Piscivore",3,"Crustacivore",4
"Gnathanodon speciosus",4,0.05,0.064371,2.796156,"Gnathanodon_speciosus","Carangidae","Piscivore",2.83,"Piscivore",3.84
"Hemigymnus fasciatus",13,0.17,0.023005,3,"Hemigymnus_fasciatus","Labridae","Invertivore",1.5,"Planktivore",3.5
"Hemigymnus melapterus",56,0.71,0.0236566666666667,2.97420666666667,"Hemigymnus_melapterus","Labridae","Invertivore",1.5,"Microinvertivore",3.55
"Hipposcarus longiceps",7,0.09,0.0161,3.05,"Hipposcarus_longiceps","Labridae (Scarinae)","Omnivore",1.7,"Herbivore Microvore Detritivore",2.73
"Lethrinus erythropterus",341,4.34,0.02005,3.2085,"Lethrinus_erythropterus","Lethrinidae","Invertivore",2.7,"Piscivore",3.70000004768372
"Lethrinus harak",11,0.14,0.0195183333333333,3.01004333333333,"Lethrinus_harak","Lethrinidae","Invertivore",2.7,"Crustacivore",3.43
"Lethrinus microdon",4,0.05,0.017682,2.96688,"Lethrinus_microdon","Lethrinidae","Piscivore",2.7,"Piscivore",3.79
"Lethrinus nebulosus",1,0.01,0.0380707692307692,2.83629692307692,"Lethrinus_nebulosus","Lethrinidae","Piscivore",2.7,"Piscivore",3.64000010490417
"Lethrinus obsoletus",3,0.04,0.0178433333333333,3.02161,"Lethrinus_obsoletus","Lethrinidae","Invertivore",2.7,"Microinvertivore",3.11999988555908
"Lethrinus ornatus",1,0.01,0.0293,3.067,"Lethrinus_ornatus","Lethrinidae","Invertivore",2.7,"Microinvertivore",3.36999988555908
